Latitude,Longitude,Depth_in_Feet
17.971666666666668,-67.01348333333334,11.53
17.97165,-67.0135,11.48
17.971616666666666,-67.01351666666666,11.53
17.971616666666666,-67.01351666666666,11.46
17.9716,-67.01351666666666,11.43
17.971583333333335,-67.01353333333333,11.46
17.971583333333335,-67.01351666666666,11.38
17.9716,-67.01351666666666,11.46
17.9716,-67.01351666666666,11.36
17.971616666666666,-67.01351666666666,11.46
17.971633333333333,-67.0135,11.46
17.97165,-67.0135,11.31
17.971666666666668,-67.01348333333334,11.48
17.971683333333335,-67.01348333333334,11.48
17.9717,-67.01346666666667,11.43
17.971716666666666,-67.01346666666667,11.36
17.971716666666666,-67.01345,11.36
17.971733333333333,-67.01345,11.41
17.97175,-67.01345,11.36
17.971766666666667,-67.01343333333334,11.41
17.971783333333335,-67.01343333333334,11.36
17.9718,-67.01341666666667,11.29
17.971816666666665,-67.01341666666667,11.29
17.971833333333333,-67.0134,11.31
17.97185,-67.0134,11.31
17.971866666666667,-67.01338333333334,11.36
17.971866666666667,-67.01338333333334,11.36
17.9719,-67.01336666666667,11.29
17.971916666666665,-67.01336666666667,11.38
17.971933333333332,-67.01336666666667,11.38
17.97195,-67.01335,11.38
17.97195,-67.01335,11.29
17.971983333333334,-67.01333333333334,11.29
17.972,-67.01333333333334,11.34
17.972016666666665,-67.01333333333334,11.29
17.972033333333332,-67.01331666666667,11.36
17.97205,-67.01331666666667,11.26
17.972066666666667,-67.0133,11.29
17.972083333333334,-67.0133,11.31
17.9721,-67.0133,11.24
17.97211666666667,-67.01328333333333,11.34
17.972133333333332,-67.01328333333333,11.26
17.97215,-67.01326666666667,11.31
17.972166666666666,-67.01326666666667,11.24
17.972183333333334,-67.01325,11.09
17.9722,-67.01325,11.26
17.972216666666668,-67.01325,11.19
17.97223333333333,-67.01323333333333,11.29
17.97225,-67.01323333333333,11.24
17.972266666666666,-67.01321666666666,11.19
17.972283333333333,-67.01321666666666,11.19
17.9723,-67.0132,11.21
17.972316666666668,-67.0132,11.17
17.972333333333335,-67.01318333333333,11.19
17.97235,-67.01318333333333,11.29
17.972383333333333,-67.01316666666666,11.21
17.9724,-67.01316666666666,11.17
17.972416666666668,-67.01315,11.21
17.972416666666668,-67.01315,11.21
17.972433333333335,-67.01315,11.17
17.97245,-67.01313333333333,11.19
17.972466666666666,-67.01313333333333,11.14
17.972483333333333,-67.01311666666666,11.12
17.9725,-67.01311666666666,11.04
17.972516666666667,-67.01311666666666,11.14
17.972533333333335,-67.01311666666666,11.17
17.97255,-67.0131,11.19
17.972566666666665,-67.01308333333333,11.19
17.972566666666665,-67.01308333333333,11.19
17.9726,-67.01306666666666,11.29
17.9726,-67.01306666666666,11.21
17.972633333333334,-67.01305,11.14
17.97265,-67.01305,11.19
17.97265,-67.01305,11.04
17.972666666666665,-67.01303333333334,11.07
17.972683333333332,-67.01303333333334,11.07
17.972716666666667,-67.01303333333334,11.02
17.972716666666667,-67.01303333333334,11.02
17.972716666666667,-67.01303333333334,11.07
17.9727,-67.01303333333334,11.04
17.972683333333332,-67.01303333333334,11.04
17.972683333333332,-67.01305,11.02
17.972666666666665,-67.01306666666666,11.24
17.97265,-67.01308333333333,11.19
17.972633333333334,-67.01308333333333,11.29
17.972616666666667,-67.01308333333333,11.14
17.9726,-67.01308333333333,11.17
17.972583333333333,-67.0131,11.19
17.972566666666665,-67.0131,11.17
17.97255,-67.01311666666666,11.14
17.972533333333335,-67.01313333333333,11.14
17.972516666666667,-67.01313333333333,11.19
17.9725,-67.01315,11.19
17.972483333333333,-67.01315,11.19
17.972466666666666,-67.01316666666666,11.19
17.97245,-67.01316666666666,11.24
17.972433333333335,-67.01316666666666,11.17
17.972433333333335,-67.01318333333333,11.31
17.972416666666668,-67.0132,11.31
17.9724,-67.0132,11.17
17.972383333333333,-67.01321666666666,11.17
17.972366666666666,-67.01321666666666,11.19
17.97235,-67.01321666666666,11.29
17.972333333333335,-67.01323333333333,11.26
17.972316666666668,-67.01323333333333,11.26
17.9723,-67.01325,11.41
17.972283333333333,-67.01326666666667,11.31
17.972266666666666,-67.01326666666667,11.24
17.97225,-67.01328333333333,11.38
17.97223333333333,-67.01328333333333,11.41
17.972216666666668,-67.0133,11.29
17.9722,-67.0133,11.26
17.972183333333334,-67.01331666666667,11.38
