Latitude,Longitude,Depth_in_Feet
17.937483333333333,-66.24956666666667,12.37
17.937483333333333,-66.24956666666667,12.33
17.937483333333333,-66.24955,12.16
17.937483333333333,-66.24951666666666,12.28
17.937483333333333,-66.2495,12.25
17.937483333333333,-66.24948333333333,12.01
17.937483333333333,-66.24948333333333,12.13
17.937466666666666,-66.24946666666666,12.13
17.937466666666666,-66.24946666666666,12.08
17.93745,-66.24946666666666,12.16
17.937433333333335,-66.24946666666666,12.30
17.937416666666667,-66.24946666666666,12.33
17.937416666666667,-66.24946666666666,12.33
17.937416666666667,-66.24948333333333,12.35
17.937416666666667,-66.2495,12.57
17.9374,-66.24951666666666,12.62
17.9374,-66.24953333333333,13.06
17.937416666666667,-66.24955,12.74
17.937416666666667,-66.24956666666667,12.81
17.9374,-66.24958333333333,12.57
17.9374,-66.2496,12.57
17.9374,-66.24963333333334,12.67
17.9374,-66.24965,12.47
17.9374,-66.24965,12.57
17.9374,-66.24966666666667,12.45
17.9374,-66.2497,12.52
17.9374,-66.24971666666667,12.77
17.9374,-66.24973333333334,12.67
17.9374,-66.24975,12.96
17.9374,-66.24976666666667,13.06
17.9374,-66.24978333333334,13.10
17.9374,-66.2498,12.77
17.9374,-66.24981666666666,12.99
17.9374,-66.24983333333333,13.10
17.9374,-66.24985,12.93
17.937383333333333,-66.24988333333333,12.93
17.937383333333333,-66.24988333333333,12.91
17.937383333333333,-66.24991666666666,13.10
17.937383333333333,-66.24991666666666,12.86
17.937383333333333,-66.24995,13.06
17.937383333333333,-66.24996666666667,13.08
17.937383333333333,-66.24998333333333,13.08
17.937383333333333,-66.25,13.03
17.937383333333333,-66.25003333333333,13.01
17.937383333333333,-66.25005,13.06
17.937383333333333,-66.25006666666667,13.10
17.937366666666666,-66.25006666666667,13.03
17.937366666666666,-66.25006666666667,13.06
17.93735,-66.25006666666667,12.99
17.93735,-66.25006666666667,13.10
17.937316666666668,-66.25005,12.77
17.937316666666668,-66.25005,12.79
17.937333333333335,-66.25003333333333,12.88
17.937316666666668,-66.25003333333333,12.64
17.937316666666668,-66.25001666666667,12.86
17.937316666666668,-66.25,12.64
17.937316666666668,-66.24998333333333,12.88
17.937316666666668,-66.24996666666667,12.35
17.937316666666668,-66.24995,12.62
17.937316666666668,-66.24993333333333,12.52
17.937316666666668,-66.24991666666666,12.81
17.937333333333335,-66.2499,12.60
17.937333333333335,-66.24988333333333,12.57
17.937333333333335,-66.24986666666666,12.60
17.937333333333335,-66.24985,12.52
17.937333333333335,-66.24983333333333,12.47
17.937333333333335,-66.24981666666666,12.74
17.937333333333335,-66.2498,12.50
17.937333333333335,-66.24976666666667,12.45
17.937333333333335,-66.24975,12.69
17.93735,-66.24973333333334,12.33
17.93735,-66.24971666666667,12.45
17.93735,-66.24968333333334,12.55
17.93735,-66.24966666666667,12.69
17.93735,-66.24965,12.23
17.93735,-66.24963333333334,12.42
17.93735,-66.24961666666667,12.33
17.93735,-66.2496,12.28
17.93735,-66.24958333333333,12.57
17.93735,-66.24956666666667,12.33
17.93735,-66.24955,12.25
17.937366666666666,-66.24953333333333,12.55
17.937366666666666,-66.24951666666666,12.45
17.937366666666666,-66.2495,12.55
17.937366666666666,-66.24946666666666,12.23
17.937366666666666,-66.24946666666666,12.40
17.93735,-66.24946666666666,12.42
17.937316666666668,-66.24945,12.23
17.937316666666668,-66.24945,12.33
17.9373,-66.24945,12.01
17.937283333333333,-66.24945,12.23
17.937283333333333,-66.24946666666666,11.96
17.937283333333333,-66.24948333333333,12.06
17.937266666666666,-66.2495,12.03
17.937266666666666,-66.24951666666666,12.03
17.937266666666666,-66.24955,12.16
17.937266666666666,-66.24956666666667,12.06
17.937266666666666,-66.24958333333333,12.01
17.937266666666666,-66.2496,12.18
17.937266666666666,-66.24961666666667,12.06
17.937266666666666,-66.24963333333334,11.98
17.93725,-66.24966666666667,12.08
17.93725,-66.24966666666667,12.03
17.93725,-66.2497,12.16
17.93725,-66.24971666666667,12.08
17.93725,-66.24973333333334,11.94
17.93725,-66.24976666666667,12.13
17.93725,-66.24978333333334,12.23
17.93725,-66.2498,12.18
17.93725,-66.24981666666666,12.38
17.93725,-66.24983333333333,12.38
17.93725,-66.24985,12.23
17.93725,-66.24986666666666,12.28
17.93725,-66.24988333333333,12.28
17.93725,-66.2499,12.57
17.93725,-66.24991666666666,12.30
17.93725,-66.24993333333333,12.42
17.93725,-66.24995,12.52
17.93725,-66.24996666666667,12.33
